Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
36,Call of Duty: Black Ops II,X360,0.9675721945051836,Shooter,Activision,9.778056902887183,8.218982874006786,-0.025160459637134362,5.684173875014762,8.484064160396722
37,Call of Duty: Modern Warfare 2,X360,0.4486328600433716,Shooter,Activision,10.108672483462431,6.893132371257659,0.007172562123252413,6.585635039670928,8.342583340295995
38,Call of Duty: Modern Warfare 3,PS3,0.7945924163512463,Shooter,Activision,6.459656075631908,11.226882522034657,1.332826454299111,8.335530241650545,8.31042860845492
39,Grand Theft Auto III,PS2,-0.9352053651881271,Action,Take-Two Interactive,8.235184193536021,8.634547956958006,0.7184990408517619,6.638662167003644,8.078914539199186
40,Super Smash Bros. Brawl,Wii,0.27565308188943427,Fighting,Nintendo,7.941303677469134,4.874673396923168,8.349092176303046,5.153902601687605,8.040328860989895
41,Call of Duty: Black Ops,PS3,0.6216126381973089,Shooter,Activision,6.998437021754536,8.496026262640934,1.300493432538724,9.449099915637573,7.840969523575235
42,Animal Crossing: Wild World,DS,-0.2432862525723778,Simulation,Nintendo,2.798394646298597,6.675455423045117,16.982008986326317,4.411522819029586,7.54514599063735
43,Mario Kart 7,3DS,0.7945924163512463,Racing,Nintendo,5.4800543554089485,7.447219148525952,8.381425198063432,4.464549946362302,7.5065603124280615
44,Halo 3,X360,0.1026733037354969,Shooter,Microsoft Game Studios,9.435196300809148,5.310027293348254,0.1688376709251864,6.161418021009203,7.461543687850557
45,Grand Theft Auto V,PS4,1.3135317508130584,Action,Take-Two Interactive,4.329022334146971,11.207093708560787,0.9124971714140826,10.45661533495917,7.358648545959119
46,Pokemon HeartGold/Pokemon SoulSilver,DS,0.4486328600433716,Action,Nintendo,5.063723624314191,5.191294412505049,12.552385005153328,3.828224418369714,7.3072009750134015
47,Super Mario 64,N64,-1.800104255957814,Platform,Nintendo,8.137224021513726,5.34960492029599,5.924115544274035,0.964759542403069,7.300770028645185
48,Gran Turismo 4,PS2,-0.41626603072631513,Racing,Sony Computer Entertainment,3.3616656354267986,-0.27041810628239976,3.3051407816827054,39.67456249528549,7.152858262176243
49,Super Mario Galaxy,Wii,0.1026733037354969,Platform,Nintendo,7.218847408804701,6.4379896613587055,3.6284709992865727,3.7751972910369984,7.062825013021234
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,1.3135317508130584,Role-Playing,Nintendo,4.855558258766813,6.378623220937103,9.70707909023929,3.1918988903771264,6.940637032025153
51,Super Mario Land 2: 6 Golden Coins,GB,-2.4920233685735633,Adventure,Nintendo,7.218847408804701,3.746711028912716,8.446091241584206,1.2829223063993629,6.8441728365019285
52,Grand Theft Auto IV,X360,0.27565308188943427,Action,Take-Two Interactive,7.953548698971921,5.844325257142678,0.2011706926855732,5.206929729020321,6.74127769461049
53,Gran Turismo,PS,-1.6271244778038765,Racing,Sony Computer Entertainment,4.598412807208285,7.368063894630481,7.9610959151784035,2.502546235051823,6.696261070032986
54,Super Mario 3D Land,3DS,0.7945924163512463,Platform,Nintendo,5.663729677950752,5.626648308930136,6.635442023002545,3.8812515457024297,6.593365928141548
55,Gran Turismo 5,PS3,0.6216126381973089,Racing,Sony Computer Entertainment,3.3004405279128637,9.366734055491104,2.3674831506314886,10.986886608286328,6.580504035405118
56,Call of Duty: Modern Warfare 2,PS3,0.4486328600433716,Shooter,Activision,5.786179892978623,7.011865252100865,0.9771632149348563,8.38855736898326,6.5290564644594005
57,Grand Theft Auto IV,PS3,0.27565308188943427,Action,Take-Two Interactive,5.504544398414522,7.150386946417937,1.1711613454971768,8.335530241650545,6.4518851080408215
58,Super Mario All-Stars,SNES,-2.319043590419626,Platform,Nintendo,7.010682043257323,3.9643879771252597,6.603109001242159,1.2829223063993629,6.439023215304392
59,Pokemon FireRed/Pokemon LeafGreen,GBA,-0.41626603072631513,Role-Playing,Nintendo,4.990253495297468,4.953828650818638,9.933410242561997,1.601085070395657,6.400437537095104
60,Super Mario 64,DS,-0.41626603072631513,Platform,Nintendo,5.896385086503706,5.864114070616546,3.790136108088507,4.9417940923567425,6.355420912517599
61,Just Dance 3,Wii,0.7945924163512463,Misc,Ubisoft,7.084152172274044,5.943269324512016,-0.25149161195984193,5.419038238351184,6.252525770626161
62,Call of Duty: Ghosts,X360,1.140551972659121,Shooter,Activision,7.904568612960773,4.914251023870903,-0.12215952491829477,4.093360055033292,6.220371038785086
63,Halo: Reach,X360,0.6216126381973089,Shooter,Microsoft Game Studios,8.28416427954717,3.6279781480695106,0.007172562123252413,3.8812515457024297,6.008149808633997
64,Mario Kart 64,N64,-1.800104255957814,Racing,Nintendo,6.471901097134695,3.54882289417404,6.958772240606413,0.5405425237413437,6.001718862265781
65,New Super Mario Bros. 2,3DS,0.9675721945051836,Platform,Nintendo,4.157592033107954,5.784958816721075,7.734764762855697,3.085844635711695,5.969564130424706
66,Halo 4,X360,0.9675721945051836,Shooter,Microsoft Game Studios,7.79436341943569,4.379953060076478,-0.12215952491829477,3.6161159090388515,5.930978452215418
67,Final Fantasy VII,PS,-1.6271244778038765,Role-Playing,Sony Computer Entertainment,3.3616656354267986,4.5976300082890225,10.353739525447025,4.835739837691311,5.905254666742558
68,Call of Duty: Ghosts,PS3,1.140551972659121,Shooter,Activision,4.684127957727794,7.091020505996335,0.9771632149348563,7.062879185665368,5.821652363955764
69,Just Dance 2,Wii,0.6216126381973089,Misc,Ubisoft,6.827006720715517,5.42876017419146,-0.21915859019945516,3.8812515457024297,5.776635739378259
70,Gran Turismo 2,PS,-1.281164921496002,Racing,Sony Computer Entertainment,4.426982506169267,6.477567288306441,5.212789065545525,2.3964919803863918,5.757342900273616
71,Call of Duty 4: Modern Warfare,X360,0.1026733037354969,Shooter,Activision,6.912721871235027,4.4195306870242135,0.1688376709251864,4.517577073695017,5.648016812013962
72,Donkey Kong Country,SNES,-2.1460638122656888,Platform,Nintendo,5.014743538303043,3.0936801842750863,9.448414916156196,0.964759542403069,5.635154919277532
